t_s,ch,vbus_V,current_A,power_W
3642.016320,0,5.998828,-0.0000620,-0.0003719
3642.148169,0,5.998633,-0.0000800,-0.0004799
3642.280006,0,5.998828,-0.0000360,-0.0002160
3642.411840,0,5.998828,-0.0000140,-0.0000840
3642.543667,0,5.999023,0.0000100,0.0000600
3642.675486,0,5.998828,-0.0000800,-0.0004799
3642.807325,0,5.998633,-0.0001140,-0.0006838
3642.939137,0,5.998828,-0.0000640,-0.0003839
3643.070980,0,5.998633,-0.0000700,-0.0004199
3643.202757,0,5.998828,-0.0000740,-0.0004439
3643.335195,0,5.998633,0.0000000,0.0000000
3643.466421,0,5.998828,-0.0001040,-0.0006239
3643.598256,0,5.998828,-0.0000920,-0.0005519
3643.730123,0,5.999023,-0.0000680,-0.0004079
3643.861905,0,5.998633,-0.0000560,-0.0003359
3643.993751,0,5.998828,-0.0000400,-0.0002400
3644.125587,0,5.998633,-0.0001000,-0.0005999
3644.257423,0,5.998633,-0.0000480,-0.0002879
3644.389241,0,5.998828,-0.0000540,-0.0003239
3644.521074,0,5.998828,0.0000080,0.0000480
3644.652876,0,5.999023,-0.0000640,-0.0003839
3644.784730,0,5.998828,-0.0000800,-0.0004799
3644.916562,0,5.998828,-0.0000600,-0.0003599
