t_s,current_A_mean,current_A_max,vbus_V_min
636,0.00003061,0.001281,6.3154
637,0.00003508,0.000775,6.3146
638,0.00004421,0.001437,6.3162
639,0.00003258,0.001775,6.3160
640,0.00003594,0.000909,6.3143
641,0.00004060,0.000743,6.3150
642,0.00003404,0.001427,6.3160
643,0.00002742,0.000571,6.3135
644,0.00003618,0.001223,6.3141
645,0.00003184,0.001003,6.3139
646,0.00003851,0.001311,6.3168
647,0.00003088,0.000953,6.3176
648,0.00003312,0.001311,6.3156
649,0.00003207,0.001091,6.3150
650,0.00002665,0.001317,6.3150
651,0.00003436,0.001645,6.3162
652,0.00002967,0.001261,6.3164
653,0.00003446,0.001285,6.3166
654,0.00002750,0.001485,6.3170
655,0.00003873,0.001389,6.3166
656,0.00003769,0.001305,6.3154
657,0.00002725,0.001311,6.3164
658,0.00003955,0.001343,6.3156
659,0.00003614,0.001395,6.3160
660,0.00003102,0.001451,6.3158
661,0.00003002,0.001401,6.3172
662,0.00003996,0.001755,6.3166
663,0.00003908,0.001129,6.3166
664,0.00003676,0.001567,6.3160
665,0.00003453,0.001457,6.3162
666,0.00003458,0.000983,6.3150
667,0.00003269,0.001719,6.3170
668,0.00003023,0.001411,6.3154
669,0.00003350,0.000739,6.3158
670,0.00003890,0.001609,6.3168
671,0.00002940,0.001379,6.3160
672,0.00002997,0.001071,6.3154
673,0.00003081,0.001217,6.3174
674,0.00002692,0.000833,6.3156
675,0.00003722,0.000885,6.3152
676,0.00002907,0.001197,6.3168
677,0.00002865,0.001457,6.3168
678,0.00004359,0.001213,6.3162
679,0.00002598,0.001453,6.3162
680,0.00003603,0.001505,6.3180
681,0.00002986,0.001573,6.3162
682,0.00002439,0.001149,6.3158
683,0.00003576,0.001229,6.3158
684,0.00002920,0.000729,6.3143
685,0.00002288,0.001619,6.3170
686,0.00004103,0.001233,6.3160
687,0.00001870,0.000953,6.3150
688,0.00004076,0.000629,6.3148
689,0.00003656,0.000649,6.3158
690,0.00002853,0.000707,6.3145
691,0.00003303,0.000935,6.3158
692,0.00003989,0.001353,6.3174
693,0.00003915,0.000999,6.3160
694,0.00002992,0.001291,6.3160
695,0.00004431,0.001203,6.3154
696,0.00004408,0.001599,6.3172
697,0.00003569,0.001561,6.3170
698,0.00003660,0.001505,6.3162
699,0.00003470,0.001583,6.3164
700,0.00003952,0.001385,6.3158
701,0.00002043,0.001045,6.3152
702,0.00003606,0.001291,6.3166
703,0.00003129,0.001515,6.3174
704,0.00003031,0.001389,6.3166
705,0.00003860,0.001515,6.3182
706,0.00004250,0.001301,6.3186
707,0.00002271,0.001077,6.3152
708,0.00003680,0.000879,6.3148
709,0.00003864,0.001077,6.3160
710,0.00002549,0.001187,6.3164
711,0.00004838,0.001133,6.3154
712,0.00003977,0.001515,6.3168
713,0.00004122,0.001301,6.3164
714,0.00002209,0.001149,6.3168
715,0.00003773,0.001389,6.3174
716,0.00002897,0.001415,6.3154
717,0.00002920,0.000921,6.3143
718,0.00003969,0.000883,6.3160
719,0.00003782,0.001119,6.3154
720,0.00002772,0.001295,6.3172
721,0.00003880,0.001427,6.3170
722,0.00003705,0.000927,6.3156
723,0.00004103,0.000671,6.3152
724,0.00003386,0.001463,6.3164
725,0.00003456,0.001385,6.3174
726,0.00003860,0.001587,6.3168
727,0.00003349,0.000947,6.3146
728,0.00004243,0.001197,6.3154
729,0.00001493,0.000859,6.3154
730,0.00003019,0.000931,6.3164
731,0.00003164,0.001337,6.3164
732,0.00003206,0.001009,6.3152
733,0.00004415,0.001759,6.3160
734,0.00003307,0.001551,6.3158
735,0.00003720,0.001207,6.3172
736,0.00003239,0.001089,6.3174
737,0.00003073,0.000817,6.3156
738,0.00003710,0.001317,6.3158
739,0.00003246,0.001713,6.3182
740,0.00003339,0.001635,6.3174
741,0.00003855,0.001165,6.3158
742,0.00002397,0.001229,6.3152
743,0.00004428,0.001839,6.3182
744,0.00004278,0.001593,6.3168
745,0.00004156,0.001515,6.3180
746,0.00003675,0.001425,6.3158
747,0.00002962,0.000869,6.3146
748,0.00004043,0.001353,6.3180
749,0.00003287,0.000863,6.3172
750,0.00002779,0.001041,6.3162
751,0.00003719,0.001515,6.3172
752,0.00001922,0.001203,6.3168
753,0.00003043,0.000911,6.3162
754,0.00003552,0.001769,6.3172
755,0.00003737,0.001045,6.3176
756,0.00003080,0.000973,6.3158
757,0.00004203,0.001389,6.3166
